FANTASYCALC DYNASTY PICK VALUES - 10 TEAM, 1QB, 1.0 PPR - 2026-05-08
--------------------------------------------------------------------------------------------------------------
PosRank | OverallRank | Player | Team | Age | YOE | Value | Trend30D | Tier
   32 |   169 | 2026 Pick 3.02                 | FA   |     ? |   ? |   1343 |    351 |   32
   33 |   174 | 2028 2nd                       | FA   |     ? |   ? |   1318 |     50 |   33
   34 |   178 | 2026 Pick 3.03                 | FA   |     ? |   ? |   1304 |    344 |   33
   35 |   182 | 2029 2nd                       | FA   |     ? |   ? |   1271 |    -20 |   33
   36 |   182 | 2026 Pick 3.04                 | FA   |     ? |   ? |   1268 |    337 |   33
   37 |   185 | 2026 Pick 3.05                 | FA   |     ? |   ? |   1234 |    330 |   33
   38 |   188 | 2026 Pick 3.06                 | FA   |     ? |   ? |   1201 |    323 |   34
   39 |   190 | 2026 3rd                       | FA   |     ? |   ? |   1186 |    320 |   34
   40 |   192 | 2026 Pick 3.07                 | FA   |     ? |   ? |   1171 |    318 |   34
   41 |   197 | 2026 Pick 3.08                 | FA   |     ? |   ? |   1141 |    311 |   34
   42 |   198 | 2026 Pick 3.09                 | FA   |     ? |   ? |   1112 |    305 |   34
   43 |   200 | 2026 Pick 3.10                 | FA   |     ? |   ? |   1086 |    300 |   35
   44 |   201 | 2026 Pick 3.11                 | FA   |     ? |   ? |   1061 |    294 |   35
   45 |   201 | 2027 3rd                       | FA   |     ? |   ? |   1039 |     41 |   35
   46 |   201 | 2026 Pick 3.12                 | FA   |     ? |   ? |   1037 |    289 |   35
   47 |   203 | 2026 Pick 4.01                 | FA   |     ? |   ? |   1014 |    284 |   35
   48 |   203 | 2026 Pick 4.02                 | FA   |     ? |   ? |    992 |    279 |   35
   49 |   203 | 2029 3rd                       | FA   |     ? |   ? |    987 |    -30 |   35
   50 |   203 | 2028 3rd                       | FA   |     ? |   ? |    978 |     75 |   35
   51 |   203 | 2026 Pick 4.03                 | FA   |     ? |   ? |    971 |    274 |   36
   52 |   205 | 2026 Pick 4.04                 | FA   |     ? |   ? |    950 |    269 |   36
   53 |   207 | 2026 Pick 4.05                 | FA   |     ? |   ? |    931 |    264 |   36
   54 |   211 | 2026 Pick 4.06                 | FA   |     ? |   ? |    912 |    260 |   36
   55 |   213 | 2026 4th                       | FA   |     ? |   ? |    903 |    257 |   36
   56 |   213 | 2026 Pick 4.07                 | FA   |     ? |   ? |    894 |    255 |   36
   57 |   221 | 2026 Pick 4.08                 | FA   |     ? |   ? |    877 |    251 |   36
   58 |   226 | 2026 Pick 4.09                 | FA   |     ? |   ? |    861 |    248 |   36
   59 |   228 | 2026 Pick 4.10                 | FA   |     ? |   ? |    845 |    244 |   37
   60 |   228 | 2026 Pick 4.11                 | FA   |     ? |   ? |    828 |    239 |   37
   61 |   229 | 2029 4th                       | FA   |     ? |   ? |    820 |    -22 |   37
   62 |   231 | 2026 Pick 4.12                 | FA   |     ? |   ? |    814 |    237 |   37
   63 |   237 | 2027 4th                       | FA   |     ? |   ? |    788 |     39 |   37
   64 |   242 | 2028 4th                       | FA   |     ? |   ? |    751 |     20 |   38
