FANTASYCALC DYNASTY WR VALUES - 10 TEAM, 1QB, 1.0 PPR - 2026-05-08
--------------------------------------------------------------------------------------------------------------
PosRank | OverallRank | Player | Team | Age | YOE | Value | Trend30D | Tier
   81 |   198 | Stefon Diggs                   | FA   |  32.5 |  11 |   1096 |    211 |   35
   82 |   199 | Jack Bech                      | LV   |  23.4 |   1 |   1087 |    164 |   35
   83 |   200 | Kayshon Boutte                 | NE   |    24 |   3 |   1084 |    -65 |   35
   84 |   202 | Tyreek Hill                    | FA   |  32.2 |  10 |   1028 |   -140 |   35
   85 |   204 | Pat Bryant                     | DEN  |  23.4 |   1 |    954 |   -101 |   36
   86 |   208 | Brenen Thompson                | LAC  |  22.8 |   0 |    927 |   -210 |   36
   87 |   210 | Troy Franklin                  | DEN  |  23.3 |   2 |    914 |   -282 |   36
   88 |   214 | Chimere Dike                   | TEN  |  24.4 |   1 |    894 |   -276 |   36
   89 |   216 | Tre Tucker                     | LV   |  25.2 |   3 |    888 |    104 |   36
   90 |   219 | Elic Ayomanor                  | TEN  |  22.9 |   1 |    884 |   -137 |   36
   91 |   221 | Adonai Mitchell                | NYJ  |  23.6 |   2 |    874 |   -359 |   36
   92 |   225 | Jaylin Noel                    | HOU  |  23.7 |   1 |    862 |    -73 |   36
   93 |   226 | Malik Washington               | MIA  |  25.4 |   2 |    861 |   -211 |   36
   94 |   230 | Kevin Coleman                  | MIA  |  22.7 |   0 |    817 |     10 |   37
   95 |   232 | Kyle Williams                  | NE   |  23.5 |   1 |    807 |   -288 |   37
   96 |   233 | Dontayvion Wicks               | PHI  |  24.9 |   3 |    800 |    378 |   37
   97 |   235 | Deebo Samuel                   | FA   |  30.3 |   7 |    797 |   -221 |   37
   98 |   239 | Bryce Lance                    | NO   |  23.7 |   0 |    768 |    779 |   38
   99 |   240 | Calvin Ridley                  | TEN  |  31.4 |   8 |    759 |    -74 |   38
  100 |   250 | Caleb Douglas                  | MIA  |  22.7 |   0 |    687 |    584 |   39
  101 |   251 | Cooper Kupp                    | SEA  |  32.9 |   9 |    681 |    276 |   39
  102 |   258 | Darnell Mooney                 | NYG  |  28.5 |   6 |    615 |    -30 |   40
  103 |   262 | Tez Johnson                    | TB   |    24 |   1 |    572 |    -77 |   41
  104 |   263 | Deion Burks                    | IND  |  23.3 |   0 |    571 |   -568 |   41
  105 |   271 | Dont'e Thornton                | LV   |  23.5 |   1 |    513 |    -10 |   41
  106 |   272 | Xavier Legette                 | CAR  |  25.3 |   2 |    513 |     -7 |   41
  107 |   273 | CJ Daniels                     | LAR  |  24.4 |   0 |    500 |   -472 |   41
  108 |   275 | Marvin Mims                    | DEN  |  24.2 |   3 |    483 |     22 |   42
  109 |   279 | Isaiah Bond                    | CLE  |  22.2 |   1 |    468 |   -338 |   42
  110 |   282 | Christian Kirk                 | SF   |  29.5 |   8 |    440 |   -117 |   42
  111 |   283 | Zavion Thomas                  | CHI  |  22.2 |   0 |    436 |    442 |   42
  112 |   285 | Rashod Bateman                 | BAL  |  26.5 |   5 |    411 |     48 |   42
  113 |   287 | Jalen Tolbert                  | MIA  |  27.2 |   4 |    381 |     68 |   43
  114 |   292 | Cedric Tillman                 | CLE  |  26.1 |   3 |    353 |     -7 |   43
  115 |   293 | Ryan Flournoy                  | DAL  |  26.5 |   2 |    348 |     14 |   43
  116 |   299 | Jaylin Lane                    | WAS  |    24 |   1 |    293 |     80 |   44
  117 |   302 | Jalen Royals                   | KC   |  23.2 |   1 |    270 |     46 |   44
  118 |   303 | Marquise Brown                 | PHI  |  28.9 |   7 |    267 |   -101 |   44
  119 |   305 | Tyquan Thornton                | KC   |  25.8 |   4 |    264 |    134 |   44
  120 |   306 | Keenan Allen                   | FA   |  34.1 |  13 |    258 |    -58 |   44
  121 |   309 | DeMario Douglas                | NE   |  25.4 |   3 |    248 |    -29 |   44
  122 |   310 | Jahan Dotson                   | ATL  |  26.1 |   4 |    246 |     31 |   44
  123 |   311 | Josh Cameron                   | JAX  |  23.2 |   0 |    240 |   -413 |   44
  124 |   313 | Cyrus Allen                    | KC   |  23.3 |   0 |    223 |    227 |   44
  125 |   314 | Savion Williams                | GB   |  24.5 |   1 |    223 |    102 |   44
  126 |   316 | Devaughn Vele                  | NO   |  28.4 |   2 |    220 |    -91 |   44
  127 |   317 | Luke McCaffrey                 | WAS  |  25.1 |   2 |    216 |     44 |   44
  128 |   324 | Calvin Austin                  | NYG  |  27.1 |   4 |    178 |    -25 |   45
  129 |   332 | John Metchie                   | CAR  |  25.8 |   4 |    160 |    -54 |   45
  130 |   333 | Darius Slayton                 | NYG  |  29.3 |   7 |    157 |     40 |   45
  131 |   334 | Andrei Iosivas                 | CIN  |  26.6 |   3 |    156 |     56 |   45
  132 |   339 | Treylon Burks                  | WAS  |  26.1 |   4 |    130 |     58 |   45
  133 |   341 | Jeff Caldwell                  | KC   |     ? |   0 |    125 |   -416 |   45
  134 |   342 | KeAndre Lambert-Smith          | LAC  |  24.6 |   1 |    125 |      8 |   45
  135 |   343 | Ja'Lynn Polk                   | NO   |  24.1 |   2 |    121 |   -118 |   45
  136 |   346 | Jimmy Horn                     | CAR  |  23.7 |   1 |    117 |     21 |   45
  137 |   350 | Jahdae Walker                  | CHI  |  23.9 |   1 |     94 |     26 |   46
  138 |   351 | Roman Wilson                   | PIT  |  24.9 |   2 |     94 |    -23 |   46
  139 |   353 | Efton Chism                    | NE   |  24.5 |   1 |     86 |      3 |   46
  140 |   354 | Malik Benson                   | LV   |  23.6 |   0 |     84 |   -300 |   46
  141 |   355 | Olamide Zaccheaus              | ATL  |  28.8 |   7 |     84 |     27 |   46
  142 |   361 | Jordan Whittington             | LAR  |  25.6 |   2 |     68 |     69 |   46
  143 |   364 | KaVontae Turpin                | DAL  |  29.8 |   4 |     63 |    -35 |   46
  144 |   369 | Tutu Atwell                    | MIA  |  26.6 |   5 |     60 |     -4 |   46
  145 |   373 | Konata Mumpfield               | LAR  |  23.6 |   1 |     55 |     56 |   46
  146 |   374 | Mack Hollins                   | NE   |  32.7 |   9 |     53 |    -66 |   46
  147 |   384 | Joshua Palmer                  | BUF  |  26.6 |   5 |     44 |     -5 |   46
  148 |   385 | Kendrick Bourne                | ARI  |  30.8 |   9 |     41 |     19 |   46
  149 |   387 | Xavier Hutchinson              | HOU  |    26 |   3 |     35 |     36 |   46
  150 |   388 | Elijah Moore                   | PHI  |  26.1 |   5 |     31 |     32 |   47
  151 |   389 | Tai Felton                     | MIN  |  23.2 |   1 |     27 |    -31 |   47
  152 |   391 | Greg Dortch                    | DET  |    28 |   7 |     21 |     22 |   47
  153 |   393 | Devontez Walker                | BAL  |  24.9 |   2 |     17 |    -19 |   47
