FANTASYCALC DYNASTY TE VALUES - 10 TEAM, 1QB, 1.0 PPR - 2026-05-08
--------------------------------------------------------------------------------------------------------------
PosRank | OverallRank | Player | Team | Age | YOE | Value | Trend30D | Tier
   43 |   274 | Jack Endries                   | CIN  |  22.1 |   0 |    487 |   -566 |   42
   44 |   276 | Ja'Tavion Sanders              | CAR  |  23.1 |   2 |    479 |     47 |   42
   45 |   281 | Greg Dulcich                   | MIA  |  26.1 |   4 |    452 |    199 |   42
   46 |   286 | Cole Kmet                      | CHI  |  27.2 |   6 |    384 |     44 |   43
   47 |   288 | Will Kacmarek                  | MIA  |  23.2 |   0 |    376 |    381 |   43
   48 |   290 | Tanner Koziol                  | JAX  |  22.3 |   0 |    367 |    372 |   43
   49 |   296 | Matthew Hibner                 | BAL  |  24.2 |   0 |    320 |    324 |   43
   50 |   297 | Marlin Klein                   | HOU  |  23.7 |   0 |    316 |   -398 |   43
   51 |   300 | Ben Sinnott                    | WAS  |  23.9 |   2 |    290 |    -68 |   44
   52 |   312 | Sam Roush                      | CHI  |  22.7 |   0 |    226 |   -425 |   44
   53 |   319 | Mike Gesicki                   | CIN  |  30.6 |   8 |    202 |     82 |   44
   54 |   326 | Darnell Washington             | PIT  |  24.7 |   3 |    170 |    -66 |   45
   55 |   336 | Noah Gray                      | KC   |    27 |   5 |    148 |     25 |   45
   56 |   337 | Dawson Knox                    | BUF  |  29.5 |   7 |    142 |     -7 |   45
   57 |   340 | Luke Musgrave                  | GB   |  25.7 |   3 |    127 |    -59 |   45
   58 |   345 | Jaren Kanak                    | TEN  |  22.3 |   0 |    117 |    119 |   45
   59 |   347 | Nate Boerkircher               | JAX  |  24.7 |   0 |    105 |    107 |   46
   60 |   362 | Jonnu Smith                    | FA   |  30.7 |   9 |     65 |    -91 |   46
   61 |   367 | Erick All                      | CIN  |  25.7 |   2 |     61 |     30 |   46
   62 |   368 | Noah Fant                      | NO   |  28.5 |   7 |     61 |    -37 |   46
   63 |   376 | Zach Ertz                      | FA   |  35.5 |  13 |     52 |   -174 |   46
   64 |   383 | John Michael Gyllenborg        | FA   |     ? |   0 |     45 |   -278 |   46
   65 |   386 | Tyler Higbee                   | LAR  |  33.4 |  10 |     38 |     39 |   46
   66 |   395 | Darren Waller                  | FA   |  33.7 |  11 |     16 |    -60 |   47
   67 |   398 | Cade Stover                    | HOU  |  25.9 |   2 |      7 |      8 |   47
